MSOA_code,Households
E02003807,3774
E02003808,2675
E02003809,2853
E02003810,3205
E02003811,2210
E02003812,2294
E02003813,2508
E02003814,2691
E02003815,2823
E02003816,2895
E02003817,2728
E02003818,2367
E02003819,2406
E02003820,2558
E02003821,2457
E02003822,4271
E02003823,2986
E02003824,2088
E02003825,2407
E02003826,2904
E02003827,3531
E02003828,2471
E02003829,2428
E02003830,2885
E02003831,3199
E02003832,2381
E02003833,2620
E02003834,2393
E02003835,3119
E02003836,3066
E02003837,3221
E02003838,2675
E02003839,2590
E02003840,3807
E02003841,3082
E02003842,2284
E02003843,2486
E02003844,2909
E02003845,3336
E02003846,2958
E02003847,3720
E02003848,2214
E02003849,2857
E02003850,2245
E02003851,2338
E02003852,2737
E02003853,2373
E02003854,2631
E02003855,2676
E02003856,4457
E02003857,2644
E02003858,2739
E02003859,4326
E02003860,2844
E02003861,2808
E02003862,2023
E02003863,2840
E02003864,3229
E02003865,3143
E02003866,2236
E02003867,2838
E02003868,3599
E02003869,2934
E02003870,4562
E02003871,2950
E02003872,3864
E02003873,2447
E02003874,3812
E02003875,2565
E02003876,2280
E02003877,3630
E02003878,3191
E02003879,2356
E02003880,2737
E02003881,2564
E02003882,3774
E02003883,3421
E02003884,3017
E02003885,2378
E02003886,2241
E02003887,2264
E02003888,2483
E02003889,2164
E02003890,2354
E02003891,2361
E02003965,4362
E02003966,2795
E02003967,3341
E02003968,3531
E02003969,2825
E02003970,3077
E02003971,3272
E02003972,3925
E02003973,3759
E02003974,3308
E02003975,2543
E02003976,3047
E02003977,2621
E02003978,2564
E02003979,3360
E02003980,3120
E02003981,2991
E02003982,2815
E02003983,3417
E02003984,3414
E02003985,3128
E02003986,3096
E02003987,2396
E02003988,2723
E02003989,3151
E02003990,3537
E02003991,3020
E02003992,3911
E02003993,3404
E02003994,3333
E02003995,4195
E02003996,4158
E02003997,3800
E02003998,2955
E02003999,3381
E02004000,2160
E02004001,2638
E02004002,4131
E02004003,5123
E02004004,4080
E02004005,3389
E02004006,3638
E02004007,4327
E02004008,2522
E02004009,2226
E02004010,3064
E02004011,4023
E02004012,2354
E02004013,3916
E02004014,3041
E02004015,2991
E02004016,3590
E02004017,3560
E02004018,3368
E02004019,3262
E02004020,3411
E02004021,2346
E02004022,2567
E02004023,2495
E02004024,2949
E02004025,3398
E02004026,3438
E02004027,3538
E02004028,3218
E02005176,3621
E02005177,2449
E02005178,3144
E02005179,3879
E02005180,2896
E02005181,2667
E02005182,2726
E02005183,2686
E02005184,2105
E02005185,3912
E02005186,2235
E02005187,2408
E02005188,2068
E02005189,2263
E02005190,2594
E02005191,3359
E02005192,2573
E02005193,3204
E02005194,3502
E02005195,2286
E02005196,2698
E02005197,2796
E02005198,3359
E02005199,2953
E02005200,2646
E02005201,3069
E02005202,3721
E02005203,2771
E02005204,4241
E02005205,2400
E02005206,3069
E02005207,3232
E02005208,4869
E02005209,3414
E02005210,4634
E02005211,3739
E02005212,4702
E02005213,4338
E02005214,2973
E02005215,5251
E02005216,2248
E02005217,4016
E02005218,3205
E02005219,3597
E02005220,2644
E02005221,4121
E02005222,2402
E02005223,3108
E02005224,2529
E02005225,2266
E02005226,3674
E02005227,3107
E02005228,2454
E02005229,2828
E02005230,3045
E02005231,3537
E02005232,2127
E02005233,2177
E02005234,2744
E02005235,2253
E02005236,4964
E02005237,3631
E02005238,2472
E02005239,2410
E02005240,2324
E02005241,2420
E02005242,2450
E02005243,2395
E02005244,2336
E02005245,2768
E02005246,2165
E02005247,4233
E02005248,2507
E02005249,3974
E02005250,2634
E02005251,2345
E02005252,3411
E02005253,2012
E02005254,2419
E02005255,3767
E02005256,2699
E02005257,2745
E02005258,3152
E02005259,4020
E02005260,2886
E02005261,3532
E02005262,2410
E02005263,2581
E02005264,4563
E02005265,4590
E02005266,2670
E02005267,2094
E02005268,3228
E02005269,3603
E02005270,2634
E02005271,3125
E02005272,3164
E02005273,2237
E02005274,2752
E02005275,2180
E02005276,2603
E02005277,3514
E02005278,2834
